build identities: BEFORE(round2)=e22168f220f5506b  AFTER(round2)=e05d7ada54d79afb
all five runs per side share one identity: 1 / 1

=== 1. NOISE FLOOR: BEFORE round1 vs BEFORE round2, identical source and seeds ===
metric                                 r1         r2       |d|%
onHit us/hit                       301.51     302.44        1.9
clear_line us/call                  12.43      12.30        7.9
phys ms/frame                        5.36       5.57        5.5
zone_step us/frame                 109.70     114.28       12.4
zone_draw us/frame                 176.53     250.51       42.9
raycasts/s                         120.85     127.87       11.8
hits/s                              12.44      12.42       14.2
clear_line/s                       486.12     457.05       17.7
wall raycasts                    11002.20   11640.60       11.8
raycasts skipped                     0.00       0.00        nan
frames >33ms                         5.20       5.20       14.7
frames >50ms                         4.20       4.00        4.0
max frame ms                       145.13     145.83        1.9
phys ticks >8ms                    210.40     249.00       65.7
reward fanout reuses                 0.00       0.00        nan
reward fanout rebuilds               0.00       0.00        nan
enemies peak                        84.00      84.00        0.0

=== 2. BEFORE(round2) -> AFTER(round2) per scenario, with noise multiples ===
--- scenario C ---
metric                              BEFORE       AFTER    delta%    noise%    ratio
onHit us/hit                        316.85      278.67    -12.0%      1.9%      6.5
clear_line us/call                   12.17        6.77    -44.4%      7.9%      5.6
phys ms/frame                         5.64        5.36     -4.9%      5.5%      0.9
zone_step us/frame                  114.92       93.98    -18.2%     12.4%      1.5
zone_draw us/frame                  281.69      222.19    -21.1%     42.9%      0.5
raycasts/s                          130.21       51.47    -60.5%     11.8%      5.1
hits/s                               11.76       10.54    -10.4%     14.2%      0.7
clear_line/s                        526.99      547.51      3.9%     17.7%      0.2
wall raycasts                     11888.00     4699.00    -60.5%     11.8%      5.1
raycasts skipped                      0.00     5655.00      nan%      nan%      nan
frames >33ms                          5.00        5.00      0.0%     14.7%      0.0
frames >50ms                          4.00        4.00      0.0%      4.0%      0.0
max frame ms                        147.19      148.00      0.6%      1.9%      0.3
phys ticks >8ms                     284.00      272.00     -4.2%     65.7%      0.1
reward fanout reuses                  0.00      961.00      nan%      nan%      nan
reward fanout rebuilds                0.00        1.00      nan%      nan%      nan
enemies peak                         84.00       84.00      0.0%      0.0%      nan
frames with a wall raycast %          84.8        52.5    -32.3%        -        -
