tier,stage,region,weapon,hp_max,enemy_composition,spawn_total,elite_composition,elite_total,summon_total,seconds,clear_seconds,boss_seconds,damage_taken,dead,completed,watchdog,path_failure_samples,max_no_damage_seconds,remaining_enemies,last_enemy_blocks_victory,cleanup
basic,1,R1,0,5,"{""E01"": 40, ""E02"": 20}",60,{},0,0,45.148,,,0.0,False,True,False,0,1.075776,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,2,R1,0,6.0,"{""E01"": 24, ""E02"": 48}",72,{},0,0,45.202,,,0.0,False,True,False,0,1.641248,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,3,R1,0,7.0,"{""E01"": 35, ""E02"": 18, ""E05"": 17}",70,{},0,0,45.102,,,0.0,False,True,False,0,1.213696,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,4,R1,0,7.5,"{""E02"": 69, ""E04"": 22}",91,{},0,0,45.186,,,0.0,False,True,False,0,1.13412772727273,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,5,R1,0,8.0,"{""E01"": 18, ""E02"": 18, ""E04"": 18, ""E05"": 18}",72,"{""E04"": 1}",1,0,44.996,,,0.0,False,True,False,0,1.59848484848485,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,6,R2,0,8.5,"{""E01"": 14, ""E03"": 13}",27,{},0,0,44.99,,,1.0,False,True,False,0,1.2079276969697,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,7,R2,0,8.5,"{""E02"": 48, ""E06"": 24}",72,{},0,0,45.185,,,0.0,False,True,False,0,1.692796,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,8,R2,0,9.0,"{""E01"": 20, ""E03"": 20, ""E05"": 20}",60,{},0,0,45.177,,,2.0,False,True,False,0,1.87928306060606,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,9,R2,0,9.0,"{""E02"": 16, ""E03"": 8, ""E04"": 8}",32,{},0,0,45.197,,,0.0,False,True,False,0,30.4204545454548,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,10,R2,0,9.0,"{""B01"": 1}",1,{},0,0,11.136,11.136,11.136,1.0,False,True,False,0,1.05984848484848,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
