build,stage,weapon,completed,dead,seconds,damage_taken,incoming_raw,incoming_applied,boss_raw,boss_applied,watchdog,remaining_enemies
basic,1,0,True,False,45.042,0.0,0.0,0.0,0.0,0.0,False,0
basic,2,0,True,False,45.159,0.0,0.0,0.0,0.0,0.0,False,0
basic,3,0,True,False,45.154,0.0,0.0,0.0,0.0,0.0,False,0
basic,4,0,True,False,45.173,0.0,0.0,0.0,0.0,0.0,False,0
basic,5,0,True,False,45.163,0.0,0.0,0.0,0.0,0.0,False,0
basic,6,0,True,False,45.145,0.0,0.0,0.0,0.0,0.0,False,0
basic,7,0,True,False,45.142,0.0,0.0,0.0,0.0,0.0,False,0
basic,8,0,True,False,45.0,7.0,8.0,7.0,0.0,0.0,False,0
basic,9,0,True,False,45.004,0.875,1.0,0.875,0.0,0.0,False,0
basic,10,0,True,False,11.141,1.94,2.0,1.94,2.0,1.94,False,0
basic,11,0,True,False,44.995,0.0,0.0,0.0,0.0,0.0,False,0
basic,12,0,True,False,45.18,0.875,1.0,0.875,0.0,0.0,False,0
basic,13,0,True,False,45.006,0.0,0.0,0.0,0.0,0.0,False,0
basic,14,0,True,False,45.028,0.875,1.0,0.875,0.0,0.0,False,0
basic,15,0,False,True,40.879,10.0,12.0,10.5,0.0,0.0,False,10
basic,16,0,True,False,45.005,2.625,3.0,2.625,0.0,0.0,False,0
basic,17,0,True,False,45.177,0.0,0.0,0.0,0.0,0.0,False,0
basic,18,0,True,False,45.191,0.0,0.0,0.0,0.0,0.0,False,0
basic,19,0,True,False,45.027,2.625,3.0,2.625,0.0,0.0,False,0
basic,20,0,True,False,8.486,0.970000000000001,1.0,0.97,1.0,0.97,False,0
basic,21,0,True,False,45.161,0.0,0.0,0.0,0.0,0.0,False,0
basic,22,0,False,True,12.534,11.0,13.0,11.375,0.0,0.0,False,13
basic,23,0,True,False,45.056,0.0,0.0,0.0,0.0,0.0,False,0
basic,24,0,True,False,44.993,1.75,2.0,1.75,0.0,0.0,False,19
basic,25,0,True,False,45.163,0.0,0.0,0.0,0.0,0.0,False,0
basic,26,0,True,False,44.998,0.875,1.0,0.875,0.0,0.0,False,0
basic,27,0,True,False,45.007,0.0,0.0,0.0,0.0,0.0,False,0
basic,28,0,True,False,44.999,0.0,0.0,0.0,0.0,0.0,False,0
basic,29,0,True,False,44.998,0.0,0.0,0.0,0.0,0.0,False,0
basic,30,0,True,False,7.089,2.91,3.0,2.91,3.0,2.91,False,0
middle,1,114,True,False,45.032,0.0,0.0,0.0,0.0,0.0,False,0
middle,2,114,True,False,45.162,0.0,0.0,0.0,0.0,0.0,False,0
middle,3,114,True,False,45.134,1.75,2.0,1.75,0.0,0.0,False,0
