id,name,tier,price,damage,rate,magazine,reload,burst_1s,single_window_dps,three_target_window_dps,seconds,range_or_path_limit,mechanic
3,Baby冲锋枪,1,60,1.4,1.5,27,1.0,7.0,6.292,6.292,6.008,1200.0,projectile/straight
1,冲击波霰弹枪,1,80,1.3,2.0,15,1.0,5.2,4.333,4.333,6.001,800.0,projectile/spread/straight
0,冲击波步枪,1,100,1.8,5.0,25,1.0,9.0,7.79,7.79,6.008,800.0,projectile/straight
9,Uzi,1,120,0.8,10.0,24,1.0,7.2,6.264,6.264,6.003,1200.0,projectile/straight
2,轻型狙击枪,2,260,7.42,1.5,10,1.0,14.84,11.102,11.102,6.015,2000.0,projectile/straight
5,帝国霰弹枪,2,290,2.76,1.5,12,1.0,22.08,14.691,14.691,6.012,800.0,projectile/spread/straight
8,RebalShotgun,2,320,4.48,1.0,5,1.0,8.96,8.947,8.947,6.009,1000.0,projectile/spread/straight
123,三连发卡宾,2,350,2.21,2.0,24,1.2,13.26,8.822,8.822,6.012,800.0,projectile/spread/burst/straight
7,异形者机枪,2,380,1.43,10.0,50,1.2,12.87,11.917,11.917,6.0,1000.0,projectile/straight
4,异形者枪步,3,650,3.105,7.0,35,1.0,18.66,18.121,18.121,6.007,800.0,projectile/straight
117,反弹重弹枪,3,700,10.75,2.0,10,1.4,21.5,17.875,17.875,6.014,600.0,projectile/ricochet/straight
118,裂片发射器,3,760,7.6,2.5,12,1.4,22.8,16.431,33.684,6.013,640.0,projectile/split/straight
115,扇面脉冲炮,3,800,10.35,2.0,12,1.5,20.7,20.662,61.986,6.011,105.0,pulse_cone/energy
6,BoomBoi,3,850,3.91,1.0,10,1.0,15.64,15.63,15.63,6.004,1000.0,beam/energy
111,棱镜脉冲枪,4,1400,4.75,2.4,16,1.4,28.5,23.703,35.554,6.012,280.0,beam/energy/pulse
112,跃迁电弧枪,4,1500,8.28,3.0,12,1.4,24.84,20.655,47.771,6.013,320.0,chain/energy
114,等离子榴炮,4,1600,18.06,1.5,8,1.6,36.12,24.072,24.072,6.002,280.0,projectile/energy/explosive
116,热流喷射器,4,1700,3.0,10.0,70,1.8,31.4,29.511,59.022,6.013,85.0,pulse_cone/energy/continuous
122,回旋锯盘,4,1800,9.9,2.0,12,1.3,29.7,39.6,79.2,6.0,720.0,projectile/returning
113,蓄能轨道炮,5,2800,25.44,1.2,6,1.8,0,31.768,63.536,6.006,420.0,beam/energy/charged/straight
119,散射火箭炮,5,3000,13.2,1.4,9,1.8,52.8,39.508,39.508,6.014,440.0,projectile/explosive/spread
120,微型追踪导弹,5,3200,10.54,1.8,12,1.5,42.16,38.576,38.576,6.011,520.0,projectile/explosive/homing
121,引力榴弹器,5,3400,23.85,1.2,8,1.7,0,31.726,95.178,6.014,360.0,projectile/explosive/gravity
124,加速转管机枪,5,3600,2.85,24.0,100,2.0,25.65,47.453,47.453,6.006,880.0,projectile/rotary/straight
