build,stage,version,alive_mean,alive_median,alive_p90,alive_p95,alive_p99,alive_peak,below_five_seconds,clear,close120_mean,close120_median,close120_p90,close120_p95,close120_p99,close120_peak,cpu_ms_mean,cpu_ms_median,cpu_ms_p90,cpu_ms_p95,cpu_ms_p99,cpu_ms_peak,death,draw_calls,effective_hp_dps,enemy_projectile_peak,engagement200_rate,frame_ms_mean,frame_ms_median,frame_ms_p90,frame_ms_p95,frame_ms_p99,frame_ms_peak,hp_loss,illegal_spawns,kill_rate,longest_dead_air,movement,player_projectile_peak,seconds,shots,simple_ratio,spawn_rate,vfx_peak,arrival_sides_0,arrival_sides_1,arrival_sides_2,arrival_sides_3,including_cold_max_ms,overlap_peak,path_queries,reinforcement_with_survivors,spawn_path_queries,stuck_seconds_peak
A,18,baseline,14.853591160221,15,24,25,26,27,1.17812733333333,False,6.4475138121547,6,14,18,19,20,4.57665675226306,0.95,1.391,1.8,115.535,115.535,True,0.0,4.88349824449409,0,2.97904032343866,6.92889765379643,6.897,7.75,7.937,8.309,122.102,14.775,0,2.3938716884775,0.101095333333333,3884.0088635314,2,37.596,68,0.605263157894737,3.0322374720715,13,,,,,,,,,,
A,18,final,2.03464203233256,0,12,15,16,16,37.8347399682538,True,1.01385681293303,0,5,9,13,13,0.917652960526287,0.945,1.265,1.348,1.373,1.524,False,0.0,1.22729395024123,0,0.578073237432466,6.89993667763163,6.9,7.165,7.363,7.866,9.19,3.325,0,0.60030682348756,36.8453279999999,699.456522591412,2,44.977,15,0.62962962962963,0.60030682348756,7,5,5,13,4,136.205,0,469,0,27,0.623874666666667
A,21,baseline,12.7903225806452,12,24,26,28,28,8.27744533333333,True,6.15668202764977,5,13,14,15,16,1.23850713956702,0.808,1.223,5.218,11.24,11.24,False,0.0,5.88143837594118,0,1.46591741998534,6.90005143559037,6.899,7.887,8.13,8.563,11.699,14.175,0,1.44370654998556,0.519445333333333,3209.55435350956,3,45.023,81,0.608695652173913,1.53255002998467,12,,,,,,,,,,
A,21,final,22.1650943396226,14,49,52,57,58,1.86192,False,12.4433962264151,5,38,41,46,46,1.3247110058309,1.299,1.847,2.432,2.432,2.432,True,0.0,5.09677419354839,0,3.96391470749043,6.90008965014576,6.898,8.533,9.462,10.517,11.244,12.2,0,1.50355385456534,0.5172,1955.32097162551,2,21.948,39,0.637362637362637,4.14616365955896,14,19,15,33,24,13.932,1,2075,10,91,2.07296622222222
A,24,baseline,12.6470588235294,13,21,22,23,23,1.14404088888889,False,6.43529411764706,5,14,15,17,17,1.74297216777731,0.91,8.345,10.374,10.374,10.374,True,0.0,6.71224362958359,0,3.61602350415278,6.89998353586829,6.897,7.678,7.86,8.191,12.436,13.3,0,2.93801909712413,0.103827555555556,1645.95678012306,2,17.699,33,0.681818181818182,3.72902423865755,7,,,,,,,,,,
A,24,final,48.4787234042553,45,72,72,72,72,0.932582555555553,False,12.0398936170213,9,24,26,29,29,1.33090280985375,1.315,1.683,1.844,1.972,1.972,True,0.0,5.58125192722787,0,4.31699044094974,6.90003791377983,6.906,10.224,10.801,11.613,13.803,14.85,0,2.82660088395519,0.207848888888889,3980.22727553174,2,38.916,70,0.695402298850575,4.47116867098366,10,32,35,59,48,13.803,1,9013,19,174,3.523856
A,26,baseline,2.99769585253456,0,13,15,17,17,33.7374773333333,True,1.60138248847926,0,7,10,13,13,0.955124213112233,0.621,1.035,1.458,9.421,9.421,False,0.0,1.36821998134245,0,0.732974990004887,6.89999785045298,6.9,7.251,7.479,7.892,13.296,6.825,0,0.732974990004887,30.9423519999999,1469.32280528545,4,45.022,25,0.606060606060606,0.732974990004887,9,,,,,,,,,,
A,26,final,33.3498098859316,33,54,55,61,62,1.34225777777778,False,12.9315589353612,13,22,25,30,31,1.46410562180581,1.326,2.085,2.145,2.16,2.16,True,0.0,6.99751134533743,0,5.78246230420143,6.90002640545146,6.905,9.19,9.847,10.884,12.115,14.25,0,3.87937344459084,0.307857777777778,2327.24228676886,2,27.324,49,0.68944099378882,5.89225589225589,9,20,47,33,61,13.159,1,4368,14,161,2.17224
A,27,baseline,16.8804597701149,14,29,31,33,33,4.97162844444444,True,6.73103448275862,6,12,14,24,24,1.29210626535627,1.011,1.38,1.426,9.611,9.611,False,0.0,4.24681266936164,0,2.35440451334903,6.90001673832926,6.9,7.846,8.093,8.593,13.009,5.075,0,1.77690906667851,0.520203555555556,4488.18466734886,2,45.022,81,0.641509433962264,2.35440451334903,6,,,,,,,,,,
A,27,final,82.2597701149425,101,110,110,110,110,1.45220722222222,True,21.8459770114943,26,28,29,30,30,1.88080476973687,1.782,2.335,2.618,3.594,3.594,False,0.0,4.04237833995958,0,3.90911311996091,6.90018437500002,6.894,13.276,13.905,15.045,17.506,13.3,0,1.9101348199809,0.518863111111111,1341.44762797118,2,45.023,81,0.702564102564103,4.33111964995669,8,23,14,29,129,17.506,2,17958,21,195,36.6394149999999
A,28,baseline,8.5503355704698,9,15,16,16,16,3.20727322222223,False,4.55704697986577,3,12,13,14,14,1.71218246550957,0.999,5.098,8.124,8.124,8.124,True,0.0,4.09450846584691,12,2.25326723749437,6.90372496662217,6.897,7.628,7.82,8.176,28.685,12.625,0,1.60947659821026,0.41376,1396.51392740989,4,15.533,28,0.6,2.25326723749437,6,,,,,,,,,,
A,28,final,46.5669291338583,49,82,86,92,92,1.34643244444444,False,13.6771653543307,18,23,25,25,26,1.69211284840243,1.656,2.297,2.37,2.37,2.37,True,0.0,2.47379138698243,26,7.76830831887774,6.90729367777022,6.903,10.707,11.387,12.573,31.07,12.35,0,1.65925032053699,0.415472444444444,1116.37825646997,2,13.259,23,0.657894736842105,8.59793347914624,8,21,6,22,65,31.07,2,2856,7,114,1.24128
A,29,baseline,3.37011494252874,2,8,11,13,14,36.7381893333332,True,0.44367816091954,0,2,3,5,5,1.37345693228924,1.0,1.309,1.588,10.707,10.707,False,0.0,1.28823045998712,5,0.533060879994669,6.90006018731769,6.899,7.377,7.609,7.983,13.063,0.0,0,0.510850009994892,0.41376,4813.2510304451,5,45.023,82,0.68,0.555271749994447,4,,,,,,,,,,
A,29,final,83.9230769230769,91,145,145,145,145,1.34472,False,20.585798816568,23,34,36,38,39,2.31570756062761,2.242,3.288,3.365,3.365,3.365,True,0.0,3.00068197317572,33,8.41100250056831,6.90126248216833,6.862,13.314,14.755,16.666,18.446,13.0,0,1.87542623323483,0.31032,1163.37410043273,3,17.596,32,0.696629213483146,10.1159354398727,6,19,7,46,106,18.446,3,7038,10,178,4.870387
B,18,baseline,4.36405529953917,3,11,13,14,14,27.2625702222222,True,0.850230414746544,0,2,4,5,8,3.77497426810478,1.031,1.562,6.811,120.271,120.271,False,0.0,5.98313359964491,0,2.64092321349312,6.92591725731896,6.9,7.665,7.886,8.519,126.802,0.0,0,2.90723479804705,8.178656,4387.29279613495,19,45.06,519,0.610687022900763,2.90723479804705,6,,,,,,,,,,
B,18,final,2.70438799076212,2,5,7,11,12,39.1633169999999,True,0.251732101616628,0,1,2,4,7,1.16601250411319,1.099,1.632,1.681,1.983,1.983,False,0.0,2.98075853631409,0,1.42364586809031,6.90005511681476,6.902,7.558,7.718,8.126,8.98,0.0,0,1.42364586809031,0.310452,5574.61834621429,23,44.955,682,0.606060606060606,1.46813480146813,5,8,20,16,22,129.607,0,945,0,66,0.621
B,21,baseline,4.26267281105991,4,9,9,11,12,26.7009875555556,True,0.714285714285714,0,2,3,4,7,1.32718273955778,0.947,1.183,1.272,11.457,11.457,False,0.0,14.4818088934299,0,2.99853405001999,6.90004545454549,6.898,7.612,7.765,8.345,12.821,0.0,0,3.39833859002266,0.5172,5474.89917649888,26,45.022,683,0.623376623376623,3.42054995335614,7,,,,,,,,,,
