Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

PASS audit depart basic/13
OUTLIER MOVE stage=13 p=(13000.0, -6000.0) target=(12912.0, -5848.0) direction=(-0.316228, 0.948683) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12989.49, -5989.621) target=(12912.0, -5848.0) direction=(-0.703698, 0.710499) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12977.76, -5978.075) target=(12912.0, -5848.0) direction=(-0.700885, 0.713275) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12967.23, -5967.704) target=(12914.49, -5846.991) direction=(-0.291728, 0.956501) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12962.57, -5951.479) target=(12925.3, -5846.974) direction=(-0.108945, 0.994048) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12962.65, -5936.718) target=(12935.27, -5846.934) direction=(-0.290861, 0.956765) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.19, -5923.421) target=(12941.08, -5846.973) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.25, -5923.664) target=(12941.08, -5846.973) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.31, -5923.906) target=(12941.08, -5846.973) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.38, -5924.147) target=(12941.08, -5846.973) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.44, -5924.389) target=(12941.08, -5846.973) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.49, -5924.55) target=(12941.08, -5846.973) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.55, -5924.792) target=(12941.08, -5846.973) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.61, -5925.034) target=(12941.08, -5846.973) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.68, -5925.275) target=(12941.08, -5846.973) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.74, -5925.517) target=(12941.91, -5846.976) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.8, -5925.759) target=(12941.91, -5846.976) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.87, -5926.0) target=(12941.91, -5846.976) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.93, -5926.242) target=(12941.91, -5846.976) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12959.99, -5926.484) target=(12941.91, -5846.976) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.05, -5926.726) target=(12941.91, -5846.976) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.11, -5926.967) target=(12941.91, -5846.976) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.17, -5927.209) target=(12941.91, -5846.976) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.21, -5927.37) target=(12941.91, -5846.976) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.28, -5927.612) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.33, -5927.855) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.33, -5927.855) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.33, -5927.855) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.33, -5927.855) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.33, -5927.855) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=8.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.33, -5927.855) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=8.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.39, -5928.098) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=8.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.45, -5928.341) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=8.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.45, -5928.341) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=8.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.51, -5928.584) target=(12942.74, -5846.978) direction=(0.0, 0.0) hp=8.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.57, -5928.828) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=8.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.63, -5929.071) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=8.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.68, -5929.314) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=8.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.74, -5929.557) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=7.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.79, -5929.8) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=7.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.85, -5930.043) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=6.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.9, -5930.287) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=6.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.9, -5930.287) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=6.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12960.96, -5930.53) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=6.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.0, -5930.692) target=(12943.65, -5846.98) direction=(0.0, 0.0) hp=6.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.05, -5930.935) target=(12944.55, -5846.983) direction=(0.0, 0.0) hp=6.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.16, -5931.424) target=(12944.55, -5846.983) direction=(0.0, 0.0) hp=6.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.21, -5931.669) target=(12944.55, -5846.983) direction=(0.0, 0.0) hp=4.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.25, -5931.832) target=(12944.55, -5846.983) direction=(0.0, 0.0) hp=3.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.28, -5931.995) target=(12944.55, -5846.983) direction=(0.0, 0.0) hp=3.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.3, -5932.077) target=(12944.55, -5846.983) direction=(0.0, 0.0) hp=3.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.35, -5932.321) target=(12944.55, -5846.983) direction=(0.0, 0.0) hp=3.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.4, -5932.566) target=(12944.55, -5846.983) direction=(0.0, 0.0) hp=3.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.44, -5932.729) target=(12944.55, -5846.983) direction=(0.0, 0.0) hp=2.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.49, -5932.974) target=(12945.46, -5847.01) direction=(0.0, 0.0) hp=1.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.49, -5932.974) target=(12945.46, -5847.01) direction=(0.0, 0.0) hp=1.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.54, -5933.218) target=(12945.46, -5847.01) direction=(0.0, 0.0) hp=1.5 damage=0 gun=0
OUTLIER MOVE stage=13 p=(12961.59, -5933.463) target=(12945.46, -5847.01) direction=(0.0, 0.0) hp=0.5 damage=0 gun=0
PASS audit cleanup 13
M6 AUDIT ROW {"boss":"","boss_seconds":null,"cleanup":{"monsters":0,"orphans":0.0,"transients":0},"clear_seconds":null,"completed":false,"damage_taken":9.5,"dead":true,"elite_composition":{},"elite_total":0,"enemy_composition":{"E05":5,"E10":6},"hp_max":9.5,"last_enemy_blocks_victory":false,"max_no_damage_seconds":11.2776107575758,"path_failure_samples":0,"region":"R3","remaining_enemies":11,"seconds":12.72,"spawn_total":11,"stage":13,"summon_total":0,"survival_seconds":12.72,"talents":{},"tier":"basic","watchdog":false,"weapon":0}
PASS audit depart basic/22
OUTLIER MOVE stage=22 p=(14996.7, -5996.552) target=(14752.0, -5896.0) direction=(-0.976663, 0.214778) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=22 p=(14984.86, -5989.561) target=(14752.0, -5896.0) direction=(-0.964141, -0.265391) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=22 p=(14976.61, -5997.812) target=(14752.0, -5896.0) direction=(-0.943902, 0.330227) hp=9.5 damage=0 gun=0
OUTLIER MOVE stage=22 p=(14907.06, -5999.0) target=(14672.0, -6120.0) direction=(-0.775586, -0.631242) hp=9.5 damage=1 gun=0
OUTLIER MOVE stage=22 p=(14899.99, -6006.072) target=(14672.0, -6120.0) direction=(-0.744395, -0.66774) hp=9.5 damage=1 gun=0
OUTLIER MOVE stage=22 p=(14888.42, -6017.739) target=(14672.0, -6120.0) direction=(-0.802417, -0.596763) hp=9.5 damage=1 gun=0
OUTLIER MOVE stage=22 p=(14878.03, -6028.23) target=(14675.53, -6116.464) direction=(-0.766154, -0.642657) hp=9.5 damage=1 gun=0
OUTLIER MOVE stage=22 p=(14852.33, -6054.053) target=(14656.0, -5960.0) direction=(-0.822543, 0.568702) hp=9.5 damage=2 gun=0
OUTLIER MOVE stage=22 p=(14849.02, -6050.614) target=(14656.0, -5960.0) direction=(-0.848523, 0.529158) hp=9.5 damage=2 gun=0
OUTLIER MOVE stage=22 p=(14838.64, -6040.102) target=(14656.0, -5960.0) direction=(-0.814932, 0.579556) hp=9.5 damage=2 gun=0
OUTLIER MOVE stage=22 p=(14777.58, -5993.043) target=(14640.0, -6216.0) direction=(-0.539447, -0.84202) hp=9.5 damage=3 gun=0
OUTLIER MOVE stage=22 p=(14763.44, -6007.188) target=(14640.0, -6216.0) direction=(-0.562489, -0.826805) hp=9.5 damage=3 gun=0
OUTLIER MOVE stage=22 p=(14748.11, -6022.511) target=(14640.0, -6216.0) direction=(-0.569421, -0.822046) hp=9.5 damage=3 gun=0
OUTLIER MOVE stage=22 p=(14741.04, -6029.583) target=(14641.77, -6214.232) direction=(-0.8962, -0.44365) hp=9.5 damage=3 gun=0
OUTLIER MOVE stage=22 p=(14726.9, -6043.728) target=(14648.84, -6207.16) direction=(-0.489963, -0.871743) hp=9.5 damage=3 gun=0
OUTLIER MOVE stage=22 p=(14712.75, -6057.873) target=(14652.38, -6203.624) direction=(-0.526675, -0.850067) hp=9.5 damage=3 gun=0
OUTLIER MOVE stage=22 p=(14701.05, -6069.426) target=(14652.38, -6203.624) direction=(0.156613, -0.98766) hp=9.5 damage=3 gun=0
OUTLIER MOVE stage=22 p=(14708.21, -6082.93) target=(14640.0, -5928.0) direction=(-0.359661, 0.933083) hp=9.5 damage=4 gun=0
OUTLIER MOVE stage=22 p=(14703.57, -6078.366) target=(14640.0, -5928.0) direction=(-0.571293, 0.820746) hp=9.5 damage=4 gun=0
OUTLIER MOVE stage=22 p=(14693.05, -6067.989) target=(14640.59, -5928.589) direction=(-0.388486, 0.921454) hp=9.5 damage=4 gun=0
OUTLIER MOVE stage=22 p=(14696.56, -6034.876) target=(14816.0, -6264.0) direction=(0.742872, -0.669433) hp=9.5 damage=5 gun=0
OUTLIER MOVE stage=22 p=(14707.06, -6045.261) target=(14816.0, -6264.0) direction=(0.769628, -0.638492) hp=9.5 damage=5 gun=0
OUTLIER MOVE stage=22 p=(14718.77, -6056.898) target=(14812.47, -6260.464) direction=(0.752009, -0.659153) hp=9.5 damage=5 gun=0
OUTLIER MOVE stage=22 p=(14749.23, -6078.031) target=(14816.0, -5944.0) direction=(0.64846, 0.761249) hp=9.5 damage=6 gun=0
OUTLIER MOVE stage=22 p=(14759.73, -6067.647) target=(14816.0, -5944.0) direction=(0.578823, 0.815453) hp=9.5 damage=6 gun=0
OUTLIER MOVE stage=22 p=(14820.88, -6013.223) target=(14976.0, -6232.0) direction=(0.718057, -0.695984) hp=9.5 damage=7 gun=0
OUTLIER MOVE stage=22 p=(14832.53, -6024.802) target=(14976.0, -6232.0) direction=(0.713338, -0.70082) hp=9.5 damage=7 gun=0
OUTLIER MOVE stage=22 p=(14839.6, -6031.874) target=(14976.0, -6232.0) direction=(0.718628, -0.695395) hp=9.5 damage=7 gun=0
OUTLIER MOVE stage=22 p=(14850.08, -6042.273) target=(14640.0, -5960.0) direction=(-0.992187, 0.12476) hp=9.5 damage=7 gun=0
OUTLIER MOVE stage=22 p=(14831.9, -6042.328) target=(14640.0, -5960.0) direction=(-0.989451, 0.144871) hp=9.5 damage=7 gun=0
OUTLIER MOVE stage=22 p=(14820.06, -6035.347) target=(14640.0, -5960.0) direction=(-0.870361, 0.492415) hp=9.5 damage=7 gun=0
OUTLIER MOVE stage=22 p=(14813.2, -6028.113) target=(14956.2, -6212.195) direction=(0.845212, -0.534432) hp=9.5 damage=8 gun=0
OUTLIER MOVE stage=22 p=(14824.84, -6039.7) target=(14949.76, -6205.759) direction=(0.817789, -0.575518) hp=9.5 damage=8 gun=0
OUTLIER MOVE stage=22 p=(14836.53, -6051.352) target=(14943.82, -6199.817) direction=(0.926813, -0.375522) hp=9.5 damage=8 gun=0
OUTLIER MOVE stage=22 p=(14848.46, -6058.215) target=(14943.82, -6199.817) direction=(0.989992, 0.141125) hp=9.5 damage=9 gun=0
OUTLIER MOVE stage=22 p=(14858.46, -6058.215) target=(14943.82, -6199.817) direction=(0.994753, 0.102308) hp=9.5 damage=9 gun=0
OUTLIER MOVE stage=22 p=(14873.35, -6057.996) target=(14943.82, -6199.817) direction=(0.996142, 0.087757) hp=9.5 damage=9 gun=0
OUTLIER MOVE stage=22 p=(14891.62, -6057.842) target=(14943.82, -6199.817) direction=(0.99594, 0.090022) hp=9.5 damage=9 gun=0
OUTLIER MOVE stage=22 p=(14906.54, -6057.604) target=(14943.82, -6199.817) direction=(0.354465, -0.935069) hp=9.5 damage=9 gun=0
OUTLIER MOVE stage=22 p=(14918.24, -6075.738) target=(15088.0, -6008.0) direction=(0.933856, 0.357648) hp=9.5 damage=10 gun=0
OUTLIER MOVE stage=22 p=(14932.23, -6069.928) target=(15088.0, -6008.0) direction=(0.984846, -0.173431) hp=9.5 damage=10 gun=0
OUTLIER MOVE stage=22 p=(14945.82, -6062.911) target=(15088.0, -6008.0) direction=(0.898985, 0.43798) hp=9.5 damage=10 gun=0
OUTLIER MOVE stage=22 p=(14957.37, -6051.203) target=(14704.0, -6168.0) direction=(-0.941204, -0.337839) hp=9.5 damage=12 gun=0
OUTLIER MOVE stage=22 p=(14952.8, -6055.844) target=(14704.0, -6168.0) direction=(-0.999842, -0.017751) hp=9.5 damage=12 gun=0
OUTLIER MOVE stage=22 p=(14938.04, -6055.91) target=(14696.72, -5976.0) direction=(-0.99996, -0.008999) hp=9.5 damage=12 gun=0
OUTLIER MOVE stage=22 p=(14921.53, -6055.958) target=(14696.72, -5976.0) direction=(-0.99999, -0.004356) hp=9.5 damage=12 gun=0
OUTLIER MOVE stage=22 p=(14905.1, -6056.038) target=(14696.72, -5976.0) direction=(-0.999992, 0.004134) hp=9.5 damage=12 gun=0
OUTLIER MOVE stage=22 p=(14890.33, -6056.122) target=(14696.72, -5976.0) direction=(-0.999931, 0.011772) hp=9.5 damage=12 gun=0
OUTLIER MOVE stage=22 p=(14880.33, -6056.122) target=(14706.48, -6165.524) direction=(-0.999972, 0.007447) hp=9.5 damage=13 gun=0
OUTLIER MOVE stage=22 p=(14863.86, -6055.98) target=(14704.0, -6168.0) direction=(-0.999999, -0.001262) hp=9.5 damage=13 gun=0
OUTLIER MOVE stage=22 p=(14849.05, -6055.826) target=(14704.0, -6168.0) direction=(-0.725577, -0.688141) hp=9.5 damage=13 gun=0
OUTLIER MOVE stage=22 p=(14833.73, -6071.149) target=(14704.0, -6168.0) direction=(-0.724864, -0.688892) hp=9.5 damage=13 gun=0
OUTLIER MOVE stage=22 p=(14819.59, -6071.149) target=(14672.0, -5944.0) direction=(-0.790995, 0.611822) hp=9.5 damage=14 gun=0
OUTLIER MOVE stage=22 p=(14812.51, -6064.077) target=(14672.0, -5944.0) direction=(-0.84018, 0.542308) hp=9.5 damage=14 gun=0
OUTLIER MOVE stage=22 p=(14798.37, -6049.933) target=(14672.0, -5944.0) direction=(-0.822601, 0.56862) hp=9.5 damage=14 gun=0
OUTLIER MOVE stage=22 p=(14785.47, -6037.019) target=(14672.0, -5944.0) direction=(-0.801825, 0.597559) hp=9.5 damage=14 gun=0
OUTLIER MOVE stage=22 p=(14773.88, -6025.381) target=(14672.0, -5944.0) direction=(-0.783031, 0.621983) hp=9.5 damage=14 gun=0
OUTLIER MOVE stage=22 p=(14782.88, -6027.891) target=(14936.57, -5959.982) direction=(0.975126, 0.221652) hp=9.5 damage=15 gun=0
OUTLIER MOVE stage=22 p=(14794.43, -6016.184) target=(14920.34, -5969.347) direction=(0.940163, -0.340726) hp=9.5 damage=15 gun=0
OUTLIER MOVE stage=22 p=(14796.75, -6023.324) target=(14663.08, -5974.484) direction=(-0.998595, -0.052987) hp=9.5 damage=16 gun=0
OUTLIER MOVE stage=22 p=(14778.57, -6023.377) target=(14682.5, -5975.795) direction=(-0.566338, 0.824173) hp=9.5 damage=16 gun=0
OUTLIER MOVE stage=22 p=(14771.49, -6016.305) target=(14689.84, -5980.563) direction=(0.0, 0.0) hp=9.5 damage=16 gun=0
OUTLIER MOVE stage=22 p=(14771.73, -6026.378) target=(14719.26, -6166.617) direction=(-0.264267, -0.96445) hp=9.5 damage=17 gun=0
OUTLIER MOVE stage=22 p=(14768.28, -6041.344) target=(14719.88, -6147.131) direction=(-0.018987, -0.99982) hp=9.5 damage=17 gun=0
OUTLIER MOVE stage=22 p=(14761.3, -6053.185) target=(14800.0, -5900.5) direction=(0.452989, 0.891516) hp=8.5 damage=18 gun=0
OUTLIER MOVE stage=22 p=(14771.84, -6042.818) target=(14800.0, -5918.5) direction=(-0.200177, 0.97976) hp=8.5 damage=18 gun=0
OUTLIER MOVE stage=22 p=(14768.24, -6039.523) target=(14912.06, -6158.068) direction=(0.691123, -0.722737) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14778.66, -6049.976) target=(14912.01, -6140.068) direction=(0.962398, -0.271643) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14791.7, -6058.087) target=(14912.0, -6120.568) direction=(0.969799, 0.243905) hp=8.5 damage=19 gun=0
OUTLIER MOVE stage=22 p=(14803.34, -6055.646) target=(14912.0, -6102.568) direction=(0.999608, -0.027998) hp=8.5 damage=19 gun=0
